"28.701256|-100.480817"
"28.422051|-97.753283"
"29.421683|-95.230798"
"27.853628|-97.633395"
"29.162266|-98.179983"
"33.462229|-94.039851"
"35.279842|-89.024623"
"30.195609|-93.17622"
"27.737979|-97.43886"
"33.191193|-97.093584"
"30.177696|-96.915709"
"36.058129|-95.817643"
"32.59215|-96.819145"
"30.483114|-97.669778"
"35.234236|-85.199273"
"28.898853|-99.094236"
"31.425255|-97.712956"
"34.664235|-99.331291"
"39.604775|-90.822308"
"29.150831|-95.658525"
"39.481309|-88.337398"
"38.923672|-95.256869"
"32.463123|-86.416339"
"30.095133|-90.980352"
"30.556986|-84.595535"
"39.085862|-94.877566"
"30.501713|-90.494371"
"38.662953|-87.504643"
"38.196993|-84.278012"
"37.072548|-88.688124"
"33.393498|-84.743664"
"27.674384|-97.300335"
"38.21018|-85.265283"
"33.518642|-88.439114"
"31.6927546|-92.1404735"
"31.896254|-106.438215"
"36.387842|-97.945621"
"31.709574|-89.146654"
"29.4709045|-90.3243205"
"29.694586|-96.53837"
"30.866174|-93.288017"
"29.265049|-94.833163"
"38.682176|-88.49584"
"30.06285|-99.167215"
"38.035243|-84.909083"
"34.2917|-83.8506"
"33.9600883|-80.3896021"
"32.227804|-101.467786"
"31.753235|-106.339982"
"32.333083|-96.135327"
"33.518173|-81.71954"
"35.393703|-97.705208"
"35.108762|-84.005497"
"34.255416|-84.461178"
"29.894378|-95.065666"
"37.74252|-84.844408"
"30.268847|-93.179586"
"32.168984|-94.368699"
"28.834532|-97.86426"
"33.990029|-83.756707"
"38.300079|-85.545768"
"29.402077|-95.037535"
"28.784512|-81.304091"
"29.184128|-95.435889"
"27.449683|-82.527182"
"33.2420091|-92.6686538"
"30.235411|-90.908985"
"30.187238|-92.078505"
"29.986171|-91.815233"
"30.239559|-92.015743"
"32.41097|-99.781732"
"29.708414|-82.35647"
"32.48087|-99.698021"
"31.278583|-92.451864"
"31.895721|-102.332146"
"29.683712|-91.267157"
