2926,14891
2933,7728
2934,15010
2939,24012
2943,19061
2944,16412
2951,23693
2953,8520
2954,4257
2958,24382
2966,14621
2967,16421
2977,7836
2978,7083
2980,28694
2985,23320
2988,2904
2989,27320
2990,27027
2991,24614
3008,13676
3010,13069
3011,23322
3012,8242
3013,12953
3014,8360
3016,29302
3024,22603
3037,29418
3041,28208
3066,1524
3067,28314
3069,17023
3075,8096
3076,11590
3087,28311
3091,7457
3094,16365
3100,28348
3110,7036
3117,19403
3121,24266
3128,21076
3132,21237
3133,1844
3134,21220
3140,19520
3142,27360
3143,28601
3153,16701
3157,7094
3171,3042
3175,6810
3177,6854
3178,6776
3179,3431
3180,6437
3181,6514
3182,6705
3183,2721
3184,19348
3185,2536
3186,19090
3187,18020
3188,19401
3189,7663
3198,20110
3200,12077
3214,7927
3215,22026
3216,28304
3217,28304
3222,24551
3223,14411
3225,24502
3229,27217
3232,24013
3238,27127
3241,24019
3249,17268
3251,18252
3253,20166
3255,29501
3256,29445
3258,23322
3267,27405
3270,28079
3273,28365
3281,21227
3283,29115
3284,29456
3298,15065
3320,24517
3324,24263
3325,24171
3328,8094
3330,21047
3339,7047
3345,21133
3346,19709
3347,6516
3352,18041
3359,28532
3360,8087
3365,23707
3367,15084
3370,14502
3371,21629
3387,28540
3389,23229
3394,23005
3400,23227
3403,27502
3404,23234
3406,29445
3429,23462
3431,28411
3451,27560
3456,5829
3457,8857
3459,28227
3460,27519
3477,11756
3481,23230
3503,23453
3504,28613
3518,27560
3530,22406
3534,28451
3536,28037
3537,18517
3539,25526
3544,25015
3560,28787
3569,16635
3570,22482
3585,26537
3589,29210
3590,23418
3593,1607
3596,3785
3597,22980
3604,12804
3605,28630
3608,17319
3609,29466
3618,25404
3619,29070
3625,28803
3626,28115
3630,28658
3632,29063
3642,27856
3643,8083
3645,29512
3646,27540
3659,23832
3668,27265
3669,27616
3674,27597
3675,29203
3676,23284
3679,15417
3685,22602
3689,29073
3701,27893
3711,27530
3714,12458
3717,28027
3731,14120
3732,28021
3747,19526
3748,23605
3756,24522
3758,22968
3762,15005
3767,29526
3778,22942
3781,19406
3788,15108
3789,24501
3804,28226
3810,8619
3812,27265
3813,27407
3820,14043
3829,19934
3831,15106
3833,27520
3836,8106
3853,28270
3858,4412
3859,7005
3867,26059
3868,28012
3876,6106
3881,19124
3884,22630
3892,7069
3895,27617
3902,20784
3904,19114
3905,19053
3908,22980
3919,7753
3944,7866
3961,8817
3963,11725
3964,17601
3980,22015
3982,21045
3984,19095
3988,19505
3992,14850
3993,15642
3994,13039
4003,27587
4004,23322
4022,1020
4025,29483
4028,7095
4029,14616
4034,29170
4035,6460
4037,11581
4038,27610
4039,25504
4041,28052
4043,11735
4059,29210
4061,25801
4065,27406
4078,15238
4081,21286
4082,22407
4083,8002
4084,20754
4085,27302
4094,15717
4095,17257
4097,16354
4112,15425
4113,29033
4114,2339
4115,15102
4116,29150
4118,8302
4120,21122
4126,27406
4140,8734
4161,6513
4168,16504
4170,7032
4171,15370
4173,2767
4175,21901
4177,19808
4189,16652
4193,8096
4198,28216
4202,23505
4203,28372
4208,13637
4209,19036
4210,17331
4212,13367
4249,18976
4296,22508
4299,13790
4307,27529
4310,28097
4313,7026
4314,23188
4315,23518
4327,22306
4331,6234
4337,22485
4338,28376
4343,19363
4365,24540
4379,27858
4382,23139
